Ime,URL,Gorovje,Višina (m),Zahtevnost (min),Zahtevnost (max),Priljubljenost
Slap Čedca,https://www.hribi.net/gora/slap_cedca/3/370,Kamniško Savinjske Alpe,1350,lahka,lahka,416
Hleviška planina,https://www.hribi.net/gora/hleviska_planina/21/829,"Škofjeloško, Cerkljansko hribovje in Jelovica",908,lahka,lahka,417
Mokrica,https://www.hribi.net/gora/mokrica/3/320,Kamniško Savinjske Alpe,1853,lahka,delno zahtevna,418
Bolnica Franja,https://www.hribi.net/gora/bolnica_franja/21/1777,"Škofjeloško, Cerkljansko hribovje in Jelovica",601,lahka,lahka,419
Planina Dedno polje,https://www.hribi.net/gora/planina_dedno_polje/1/156,Julijske Alpe,1560,lahka,lahka,420
Bivak pod Luknjo,https://www.hribi.net/gora/bivak_pod_luknjo/1/241,Julijske Alpe,1480,lahka,lahka,421
Velo polje,https://www.hribi.net/gora/velo_polje/1/99,Julijske Alpe,1680,lahka,zahtevna,422
Poldanovec,https://www.hribi.net/gora/poldanovec/26/545,"Goriško, Notranjsko in Snežniško hribovje",1299,lahka,zahtevna,423
Tolsta Košuta - Zahodni vrh,https://www.hribi.net/gora/tolsta_kosuta_-_zahodni_vrh/11/315,Karavanke,2039,delno zahtevna,delno zahtevna,424
Planina v Lazu,https://www.hribi.net/gora/planina_v_lazu/1/243,Julijske Alpe,1560,lahka,lahka,425
Koča na Bohorju,https://www.hribi.net/gora/koca_na_bohorju/25/890,Zasavsko - Posavsko hribovje in Dolenjska,896,lahka,lahka,426
Ljubljanski grad,https://www.hribi.net/gora/ljubljanski_grad/5/307,Polhograjsko hribovje in Ljubljana,376,lahka,lahka,427
Stari vrh,https://www.hribi.net/gora/stari_vrh/21/432,"Škofjeloško, Cerkljansko hribovje in Jelovica",1217,lahka,lahka,428
Koštrunove špice,https://www.hribi.net/gora/kostrunove_spice/1/1282,Julijske Alpe,2502,zahtevna,zahtevna,429
Sveti Primož in Felicijan (Jamnik),https://www.hribi.net/gora/sveti_primoz_in_felicijan_jamnik/21/1697,"Škofjeloško, Cerkljansko hribovje in Jelovica",831,lahka,lahka,430
Dom na Mirni gori,https://www.hribi.net/gora/dom_na_mirni_gori/25/215,Zasavsko - Posavsko hribovje in Dolenjska,1000,lahka,lahka,431
Planina Zajavornik,https://www.hribi.net/gora/planina_zajavornik/1/540,Julijske Alpe,1292,lahka,lahka,432
Mala Zelnarica,https://www.hribi.net/gora/mala_zelnarica/1/456,Julijske Alpe,2310,delno zahtevna,zahtevna,433
Debeli vrh nad Lipanco,https://www.hribi.net/gora/debeli_vrh_nad_lipanco/1/339,Julijske Alpe,1962,lahka,lahka,434
Dom pri Miklavžu,https://www.hribi.net/gora/dom_pri_miklavzu/25/736,Zasavsko - Posavsko hribovje in Dolenjska,964,lahka,lahka,435
Boskovec,https://www.hribi.net/gora/boskovec/3/976,Kamniško Savinjske Alpe,1587,lahka,delno zahtevna,436
Travnik (pri Mojstrovkah),https://www.hribi.net/gora/travnik_pri_mojstrovkah/1/1327,Julijske Alpe,2379,delno zahtevna,delno zahtevna,437
Koreno,https://www.hribi.net/gora/koreno/5/334,Polhograjsko hribovje in Ljubljana,729,lahka,lahka,438
Rudnica,https://www.hribi.net/gora/rudnica/1/1517,Julijske Alpe,946,lahka,lahka,439
Slatnik (severozahodni vrh),https://www.hribi.net/gora/slatnik_severozahodni_vrh/1/290,Julijske Alpe,1609,lahka,lahka,440
Veliko Kozje,https://www.hribi.net/gora/veliko_kozje/25/839,Zasavsko - Posavsko hribovje in Dolenjska,993,lahka,lahka,441
Planina Košutna,https://www.hribi.net/gora/planina_kosutna/3/338,Kamniško Savinjske Alpe,1778,delno zahtevna,delno zahtevna,442
Srednji vrh (nad Završnico),https://www.hribi.net/gora/srednji_vrh_nad_zavrsnico/11/277,Karavanke,1796,lahka,lahka,443
Planina Kališče,https://www.hribi.net/gora/planina_kalisce/3/467,Kamniško Savinjske Alpe,1450,lahka,lahka,444
Lovska koča na Taležu,https://www.hribi.net/gora/lovska_koca_na_talezu/21/787,"Škofjeloško, Cerkljansko hribovje in Jelovica",725,lahka,lahka,445
Bivak pod Špikom,https://www.hribi.net/gora/bivak_pod_spikom/1/340,Julijske Alpe,1424,lahka,lahka,446
Planina Zgornja Krma,https://www.hribi.net/gora/planina_zgornja_krma/1/253,Julijske Alpe,1720,lahka,lahka,447
Zadnji Vogel,https://www.hribi.net/gora/zadnji_vogel/1/384,Julijske Alpe,2327,ni podatka,ni podatka,448
Dom na Boču,https://www.hribi.net/gora/dom_na_bocu/11/761,Karavanke,658,lahka,lahka,449
Zeleno jezero,https://www.hribi.net/gora/zeleno_jezero/1/173,Julijske Alpe,1988,lahka,zahtevna,450
Krnčica,https://www.hribi.net/gora/krncica/1/1625,Julijske Alpe,2142,delno zahtevna,zahtevna,451
Gubno,https://www.hribi.net/gora/gubno/11/479,Karavanke,2035,lahka,lahka,452
Kojca,https://www.hribi.net/gora/kojca/21/1115,"Škofjeloško, Cerkljansko hribovje in Jelovica",1303,lahka,lahka,453
Sveti Peter nad Begunjami,https://www.hribi.net/gora/sveti_peter_nad_begunjami/3/1147,Kamniško Savinjske Alpe,839,lahka,zahtevna,454
Vrtaški vrh,https://www.hribi.net/gora/vrtaski_vrh/1/469,Julijske Alpe,1898,lahka,lahka,455
Tolsta Košuta - Vzhodni vrh,https://www.hribi.net/gora/tolsta_kosuta_-_vzhodni_vrh/11/296,Karavanke,2057,delno zahtevna,delno zahtevna,456
Široka peč,https://www.hribi.net/gora/siroka_pec/1/1381,Julijske Alpe,2497,ni podatka,ni podatka,457
Bistriška planina,https://www.hribi.net/gora/bistriska_planina/3/1641,Kamniško Savinjske Alpe,1057,lahka,lahka,458
Vrh Brda / Cima Verde,https://www.hribi.net/gora/vrh_brda___cima_verde/1/1344,Julijske Alpe,2661,zahtevna,zahtevna,459
Koča na Ermanovcu,https://www.hribi.net/gora/koca_na_ermanovcu/21/547,"Škofjeloško, Cerkljansko hribovje in Jelovica",968,lahka,lahka,460
Mala Poljana,https://www.hribi.net/gora/mala_poljana/3/208,Kamniško Savinjske Alpe,1325,lahka,delno zahtevna,461
Mengeška koča na Gobavici,https://www.hribi.net/gora/mengeska_koca_na_gobavici/5/1785,Polhograjsko hribovje in Ljubljana,433,lahka,lahka,463
Celovška koča / Klagenfurter Hutte,https://www.hribi.net/gora/celovska_koca___klagenfurter_hutte/11/582,Karavanke,1664,lahka,zahtevna,464
Bivak na Rušju,https://www.hribi.net/gora/bivak_na_rusju/1/216,Julijske Alpe,1980,lahka,lahka,465
Čelo,https://www.hribi.net/gora/celo/1/70,Julijske Alpe,2228,delno zahtevna,delno zahtevna,466
Sveti Mohor (Zabrekve),https://www.hribi.net/gora/sveti_mohor_zabrekve/21/1686,"Škofjeloško, Cerkljansko hribovje in Jelovica",952,lahka,lahka,467
Kašna planina,https://www.hribi.net/gora/kasna_planina/3/250,Kamniško Savinjske Alpe,1317,lahka,lahka,468
Koča pri Sveti Ani na Mali gori,https://www.hribi.net/gora/koca_pri_sveti_ani_na_mali_gori/25/1171,Zasavsko - Posavsko hribovje in Dolenjska,910,lahka,lahka,469
Klopni vrh,https://www.hribi.net/gora/klopni_vrh/4/1112,Pohorje in ostala severovzhodna Slovenija,1340,lahka,lahka,470
Tolsti vrh (Veža),https://www.hribi.net/gora/tolsti_vrh_veza/3/305,Kamniško Savinjske Alpe,1985,lahka,lahka,471
Slap Veliki Šumik,https://www.hribi.net/gora/slap_veliki_sumik/4/916,Pohorje in ostala severovzhodna Slovenija,950,zahtevna,zahtevna,472
Dleskovec,https://www.hribi.net/gora/dleskovec/3/380,Kamniško Savinjske Alpe,1965,lahka,lahka,473
Kreda,https://www.hribi.net/gora/kreda/1/280,Julijske Alpe,2025,lahka,lahka,474
Studorski preval,https://www.hribi.net/gora/studorski_preval/1/138,Julijske Alpe,1892,lahka,zahtevna,475
Tomčeva koča na Poljški planini,https://www.hribi.net/gora/tomceva_koca_na_poljski_planini/11/194,Karavanke,1180,lahka,delno zahtevna,476
Rjavo jezero,https://www.hribi.net/gora/rjavo_jezero/1/172,Julijske Alpe,2006,lahka,zahtevna,477
Dom Petra Skalarja na Kaninu,https://www.hribi.net/gora/dom_petra_skalarja_na_kaninu/1/328,Julijske Alpe,2260,lahka,zahtevna,478
Javorov vrh (Pokljuka),https://www.hribi.net/gora/javorov_vrh_pokljuka/1/1440,Julijske Alpe,1482,lahka,lahka,479
Mali Kanin,https://www.hribi.net/gora/mali_kanin/1/13,Julijske Alpe,2571,zahtevna,zahtevna,480
Veliki Ozebnik,https://www.hribi.net/gora/veliki_ozebnik/1/40,Julijske Alpe,2480,ni podatka,ni podatka,481
Planina Koren,https://www.hribi.net/gora/planina_koren/3/317,Kamniško Savinjske Alpe,1675,lahka,lahka,482
Tolsti vrh nad Celjsko kočo,https://www.hribi.net/gora/tolsti_vrh_nad_celjsko_koco/25/879,Zasavsko - Posavsko hribovje in Dolenjska,834,lahka,zahtevna,483
Koča na Hleviški planini,https://www.hribi.net/gora/koca_na_hleviski_planini/21/830,"Škofjeloško, Cerkljansko hribovje in Jelovica",815,lahka,lahka,484
Mrzli vrh (na Matajurju),https://www.hribi.net/gora/mrzli_vrh_na_matajurju/1/749,Julijske Alpe,1358,lahka,lahka,485
Hotel Golte,https://www.hribi.net/gora/hotel_golte/3/594,Kamniško Savinjske Alpe,1410,lahka,lahka,486
Veliki Javornik (Ženiklovec),https://www.hribi.net/gora/veliki_javornik_zeniklovec/11/149,Karavanke,1716,lahka,lahka,487
Sankaška koča,https://www.hribi.net/gora/sankaska_koca/3/1148,Kamniško Savinjske Alpe,867,lahka,lahka,488
Šentanski vrh,https://www.hribi.net/gora/sentanski_vrh/3/930,Kamniško Savinjske Alpe,1635,lahka,delno zahtevna,489
Kobilja glava,https://www.hribi.net/gora/kobilja_glava/1/1240,Julijske Alpe,1475,lahka,lahka,491
Dom na Lovrencu (Bašelj),https://www.hribi.net/gora/dom_na_lovrencu_baselj/3/578,Kamniško Savinjske Alpe,860,lahka,lahka,492
Glava v Zaplanji,https://www.hribi.net/gora/glava_v_zaplanji/1/17,Julijske Alpe,2556,lahka,lahka,494
Brunarica Osovnik,https://www.hribi.net/gora/brunarica_osovnik/5/595,Polhograjsko hribovje in Ljubljana,777,lahka,lahka,495
Planina Dovška Rožca,https://www.hribi.net/gora/planina_dovska_rozca/11/276,Karavanke,1650,lahka,lahka,497
Končnikov vrh (Peca),https://www.hribi.net/gora/koncnikov_vrh_peca/11/1276,Karavanke,2109,lahka,zahtevna,498
Spodnje Kriško jezero,https://www.hribi.net/gora/spodnje_krisko_jezero/1/165,Julijske Alpe,1880,lahka,lahka,499
Španov vrh,https://www.hribi.net/gora/spanov_vrh/11/1231,Karavanke,1334,lahka,lahka,500
Kopica,https://www.hribi.net/gora/kopica/1/455,Julijske Alpe,2190,lahka,zahtevna,501
Sveti Miklavž nad Savo,https://www.hribi.net/gora/sveti_miklavz_nad_savo/25/727,Zasavsko - Posavsko hribovje in Dolenjska,741,lahka,lahka,502
Dom na Sabotinu,https://www.hribi.net/gora/dom_na_sabotinu/26/865,"Goriško, Notranjsko in Snežniško hribovje",560,lahka,delno zahtevna,503
Kurji vrh,https://www.hribi.net/gora/kurji_vrh/1/1096,Julijske Alpe,1762,delno zahtevna,delno zahtevna,504
Zadnja Mojstrovka,https://www.hribi.net/gora/zadnja_mojstrovka/1/1326,Julijske Alpe,2354,delno zahtevna,delno zahtevna,505
Dom Pristava v Javorniškem Rovtu,https://www.hribi.net/gora/dom_pristava_v_javorniskem_rovtu/11/1177,Karavanke,975,lahka,delno zahtevna,506
Eva,https://www.hribi.net/gora/eva/1/712,Julijske Alpe,2019,ni podatka,ni podatka,507
Orlovo gnezdo (Veli Badin),https://www.hribi.net/gora/orlovo_gnezdo_veli_badin/26/1719,"Goriško, Notranjsko in Snežniško hribovje",359,lahka,lahka,508
Dom na Gospincu (Hotel Rozka),https://www.hribi.net/gora/dom_na_gospincu_hotel_rozka/3/1063,Kamniško Savinjske Alpe,1491,lahka,delno zahtevna,509
Briceljk,https://www.hribi.net/gora/briceljk/1/1370,Julijske Alpe,2346,zahtevna,zahtevna,510
Planina Ovčarija,https://www.hribi.net/gora/planina_ovcarija/1/157,Julijske Alpe,1660,lahka,zahtevna,511
Mala Raduha,https://www.hribi.net/gora/mala_raduha/3/1268,Kamniško Savinjske Alpe,2029,ni podatka,ni podatka,512
Mrzli vrh nad planino Pretovč,https://www.hribi.net/gora/mrzli_vrh_nad_planino_pretovc/1/1773,Julijske Alpe,1359,lahka,lahka,514
Šavnik,https://www.hribi.net/gora/savnik/1/437,Julijske Alpe,1574,lahka,lahka,515
Svačica,https://www.hribi.net/gora/svacica/11/586,Karavanke,1953,lahka,zahtevna,516
Šišenski hrib (Rožnik),https://www.hribi.net/gora/sisenski_hrib_roznik/5/312,Polhograjsko hribovje in Ljubljana,429,lahka,lahka,517
Sivka,https://www.hribi.net/gora/sivka/5/1182,Polhograjsko hribovje in Ljubljana,934,lahka,lahka,518
Prevalski Stog,https://www.hribi.net/gora/prevalski_stog/1/378,Julijske Alpe,2075,delno zahtevna,delno zahtevna,519
Sveti Peter,https://www.hribi.net/gora/sveti_peter/25/898,Zasavsko - Posavsko hribovje in Dolenjska,888,lahka,lahka,520
Bistriška špica (Peca) / Feistritzer Spitze (Petzen),https://www.hribi.net/gora/bistriska_spica_peca___feistritzer_spitze_petzen/11/1275,Karavanke,2113,lahka,zahtevna,521
Matkov kot,https://www.hribi.net/gora/matkov_kot/3/2222,Kamniško Savinjske Alpe,920,ni podatka,ni podatka,522
Bloško jezero,https://www.hribi.net/gora/blosko_jezero/26/2339,"Goriško, Notranjsko in Snežniško hribovje",748,lahka,lahka,523
Mišeljski Konec,https://www.hribi.net/gora/miseljski_konec/1/46,Julijske Alpe,2464,ni podatka,ni podatka,524
Poldašnja špica/Jof di Miezegnot,https://www.hribi.net/gora/poldasnja_spica_jof_di_miezegnot/1/657,Julijske Alpe,2087,zahtevna,zahtevna,525
Planinska koča Merjasec,https://www.hribi.net/gora/planinska_koca_merjasec/1/587,Julijske Alpe,1535,lahka,lahka,526
Strma peč / Monte Cimone,https://www.hribi.net/gora/strma_pec___monte_cimone/1/1562,Julijske Alpe,2380,zahtevna,zahtevna,527
Slap Veliki Kozjak,https://www.hribi.net/gora/slap_veliki_kozjak/1/403,Julijske Alpe,250,lahka,lahka,528
Rakitna,https://www.hribi.net/gora/rakitna/26/1729,"Goriško, Notranjsko in Snežniško hribovje",789,lahka,lahka,529
Tolminski Migovec,https://www.hribi.net/gora/tolminski_migovec/1/2102,Julijske Alpe,1868,lahka,delno zahtevna,530
Šplevta,https://www.hribi.net/gora/splevta/1/1062,Julijske Alpe,2272,zahtevna,zahtevna,531
Jezero v Lužnici,https://www.hribi.net/gora/jezero_v_luznici/1/330,Julijske Alpe,1801,lahka,lahka,532
Srednja Ponca,https://www.hribi.net/gora/srednja_ponca/1/1050,Julijske Alpe,2228,zahtevna,zahtevna,533
Koprivnik,https://www.hribi.net/gora/koprivnik/21/440,"Škofjeloško, Cerkljansko hribovje in Jelovica",1393,lahka,lahka,534
Mali Snežnik,https://www.hribi.net/gora/mali_sneznik/26/556,"Goriško, Notranjsko in Snežniško hribovje",1694,lahka,lahka,535
Dom Čemšenik,https://www.hribi.net/gora/dom_cemsenik/3/268,Kamniško Savinjske Alpe,835,lahka,lahka,536
Vrh Svetih Treh Kraljev,https://www.hribi.net/gora/vrh_svetih_treh_kraljev/26/651,"Goriško, Notranjsko in Snežniško hribovje",884,lahka,lahka,537
Adam,https://www.hribi.net/gora/adam/1/711,Julijske Alpe,2012,ni podatka,ni podatka,538
Malo Špičje,https://www.hribi.net/gora/malo_spicje/1/453,Julijske Alpe,2312,lahka,lahka,539
Koča na Klopnem vrhu,https://www.hribi.net/gora/koca_na_klopnem_vrhu/4/1113,Pohorje in ostala severovzhodna Slovenija,1260,lahka,lahka,540
Tolminska korita,https://www.hribi.net/gora/tolminska_korita/1/1341,Julijske Alpe,180,ni podatka,ni podatka,541
Veliki Pršivec,https://www.hribi.net/gora/veliki_prsivec/1/506,Julijske Alpe,2056,ni podatka,ni podatka,542
Mala Martuljška Ponca,https://www.hribi.net/gora/mala_martuljska_ponca/1/1382,Julijske Alpe,2501,ni podatka,ni podatka,543
Bivak na Jezerih,https://www.hribi.net/gora/bivak_na_jezerih/1/211,Julijske Alpe,2118,zahtevna,zahtevna,544
Koritni vrh (Velika planina),https://www.hribi.net/gora/koritni_vrh_velika_planina/3/372,Kamniško Savinjske Alpe,1648,lahka,lahka,545
Ingotova koča na planini Jesenje,https://www.hribi.net/gora/ingotova_koca_na_planini_jesenje/1/219,Julijske Alpe,930,lahka,lahka,546
Dravh,https://www.hribi.net/gora/dravh/1/434,Julijske Alpe,1547,lahka,lahka,547
Potoška planina,https://www.hribi.net/gora/potoska_planina/11/152,Karavanke,1270,lahka,delno zahtevna,548
Srebotnik,https://www.hribi.net/gora/srebotnik/25/881,Zasavsko - Posavsko hribovje in Dolenjska,700,lahka,zahtevna,549
Orlove glave,https://www.hribi.net/gora/orlove_glave/1/1898,Julijske Alpe,1682,lahka,lahka,550
Vrtaška planina,https://www.hribi.net/gora/vrtaska_planina/1/308,Julijske Alpe,1462,lahka,zahtevna,551
Lešanska planina,https://www.hribi.net/gora/lesanska_planina/3/131,Kamniško Savinjske Alpe,1450,lahka,lahka,552
Planina Javornik,https://www.hribi.net/gora/planina_javornik/11/509,Karavanke,1550,lahka,lahka,553
Malo Kladivo,https://www.hribi.net/gora/malo_kladivo/11/466,Karavanke,2036,lahka,delno zahtevna,554
Jezerski vrh,https://www.hribi.net/gora/jezerski_vrh/4/515,Pohorje in ostala severovzhodna Slovenija,1537,lahka,lahka,555
Ribniško jezero,https://www.hribi.net/gora/ribnisko_jezero/4/516,Pohorje in ostala severovzhodna Slovenija,1490,lahka,lahka,556
Kresišče,https://www.hribi.net/gora/kresisce/11/367,Karavanke,1839,lahka,zahtevna,557
Rožca,https://www.hribi.net/gora/rozca/11/361,Karavanke,1587,lahka,zahtevna,558
Dom v Kamniški Bistrici,https://www.hribi.net/gora/dom_v_kamniski_bistrici/3/1438,Kamniško Savinjske Alpe,600,lahka,delno zahtevna,559
Veliki Travnik (Turnovka),https://www.hribi.net/gora/veliki_travnik_turnovka/3/488,Kamniško Savinjske Alpe,1637,lahka,lahka,560
Krničarjeva koča na planini Javornik,https://www.hribi.net/gora/krnicarjeva_koca_na_planini_javornik/3/528,Kamniško Savinjske Alpe,1390,lahka,lahka,561
Koča na Starem vrhu,https://www.hribi.net/gora/koca_na_starem_vrhu/21/187,"Škofjeloško, Cerkljansko hribovje in Jelovica",1032,lahka,lahka,563
Nebeška gora,https://www.hribi.net/gora/nebeska_gora/25/1117,Zasavsko - Posavsko hribovje in Dolenjska,958,lahka,lahka,564
Planina Podvežak,https://www.hribi.net/gora/planina_podvezak/3/306,Kamniško Savinjske Alpe,1564,lahka,lahka,566
Dovška Mala Kepa,https://www.hribi.net/gora/dovska_mala_kepa/11/478,Karavanke,2077,zahtevna,zahtevna,567
Lopatnik,https://www.hribi.net/gora/lopatnik/1/2309,Julijske Alpe,2012,lahka,lahka,568
Slavkov dom na Golem brdu,https://www.hribi.net/gora/slavkov_dom_na_golem_brdu/5/781,Polhograjsko hribovje in Ljubljana,396,lahka,lahka,569
Ankaran,https://www.hribi.net/gora/ankaran/26/891,"Goriško, Notranjsko in Snežniško hribovje",18,lahka,lahka,570
Lanež,https://www.hribi.net/gora/lanez/3/1269,Kamniško Savinjske Alpe,1925,lahka,zahtevna,571
Kozji vrh,https://www.hribi.net/gora/kozji_vrh/3/281,Kamniško Savinjske Alpe,1628,delno zahtevna,delno zahtevna,572
Špicasti vrh (Kislica),https://www.hribi.net/gora/spicasti_vrh_kislica/11/1448,Karavanke,994,lahka,delno zahtevna,573
Ulovka,https://www.hribi.net/gora/ulovka/26/744,"Goriško, Notranjsko in Snežniško hribovje",801,lahka,lahka,574
Planina Dolga njiva (Krvavec),https://www.hribi.net/gora/planina_dolga_njiva_krvavec/3/446,Kamniško Savinjske Alpe,1688,lahka,delno zahtevna,575
Planina Jezerce,https://www.hribi.net/gora/planina_jezerce/1/260,Julijske Alpe,1720,lahka,lahka,576
Hajnževo sedlo,https://www.hribi.net/gora/hajnzevo_sedlo/11/1061,Karavanke,1701,lahka,zahtevna,578
Sveti Lovrenc (Bašelj),https://www.hribi.net/gora/sveti_lovrenc_baselj/3/579,Kamniško Savinjske Alpe,892,lahka,lahka,579
Deska (Veža),https://www.hribi.net/gora/deska_veza/3/304,Kamniško Savinjske Alpe,1970,lahka,lahka,580
Jelenk,https://www.hribi.net/gora/jelenk/21/835,"Škofjeloško, Cerkljansko hribovje in Jelovica",1107,lahka,zahtevna,581
Izvir Tolminke,https://www.hribi.net/gora/izvir_tolminke/1/412,Julijske Alpe,695,lahka,lahka,582
Slatna,https://www.hribi.net/gora/slatna/1/279,Julijske Alpe,2077,lahka,lahka,583
Zgornji Martuljkov slap,https://www.hribi.net/gora/zgornji_martuljkov_slap/1/220,Julijske Alpe,1150,zahtevna,zahtevna,585
Kojnik,https://www.hribi.net/gora/kojnik/26/779,"Goriško, Notranjsko in Snežniško hribovje",802,lahka,lahka,586
Slap Savica,https://www.hribi.net/gora/slap_savica/1/532,Julijske Alpe,794,lahka,lahka,587
Planina Osredek,https://www.hribi.net/gora/planina_osredek/3/352,Kamniško Savinjske Alpe,1100,lahka,delno zahtevna,588
Korita Mlinarice,https://www.hribi.net/gora/korita_mlinarice/1/424,Julijske Alpe,770,lahka,lahka,589
Planina Klek,https://www.hribi.net/gora/planina_klek/1/341,Julijske Alpe,1556,lahka,lahka,590
Mazovnik (Golovec),https://www.hribi.net/gora/mazovnik_golovec/25/1430,Zasavsko - Posavsko hribovje in Dolenjska,450,lahka,lahka,591
Cima Alta (Dve špici),https://www.hribi.net/gora/cima_alta_dve_spici/1/659,Julijske Alpe,2046,lahka,zahtevna,592
Mrzovec,https://www.hribi.net/gora/mrzovec/26/551,"Goriško, Notranjsko in Snežniško hribovje",1410,lahka,lahka,593
Dom na Paškem Kozjaku,https://www.hribi.net/gora/dom_na_paskem_kozjaku/11/740,Karavanke,960,lahka,lahka,594
Cicelj,https://www.hribi.net/gora/cicelj/25/728,Zasavsko - Posavsko hribovje in Dolenjska,836,lahka,lahka,595
Oklo,https://www.hribi.net/gora/oklo/1/610,Julijske Alpe,2087,zahtevna,zahtevna,596
Žusem,https://www.hribi.net/gora/zusem/25/2329,Zasavsko - Posavsko hribovje in Dolenjska,669,lahka,zahtevna,597
Mihov dom na Vršiču,https://www.hribi.net/gora/mihov_dom_na_vrsicu/1/269,Julijske Alpe,1085,lahka,lahka,598
Slap Virje,https://www.hribi.net/gora/slap_virje/1/232,Julijske Alpe,400,lahka,lahka,599
Tolsti vrh (Talež),https://www.hribi.net/gora/tolsti_vrh_talez/21/1754,"Škofjeloško, Cerkljansko hribovje in Jelovica",883,lahka,lahka,600
Koča na Vojah,https://www.hribi.net/gora/koca_na_vojah/1/580,Julijske Alpe,690,lahka,lahka,601
Travnik,https://www.hribi.net/gora/travnik/1/1057,Julijske Alpe,2252,zahtevna,zahtevna,602
Zavetišče v Gozdu,https://www.hribi.net/gora/zavetisce_v_gozdu/3/120,Kamniško Savinjske Alpe,891,lahka,lahka,603
Gontarska planina,https://www.hribi.net/gora/gontarska_planina/5/1561,Polhograjsko hribovje in Ljubljana,894,lahka,lahka,604
Borovje,https://www.hribi.net/gora/borovje/11/505,Karavanke,1476,delno zahtevna,delno zahtevna,605
Sveti Ožbolt (nad Zmincem),https://www.hribi.net/gora/sveti_ozbolt_nad_zmincem/5/534,Polhograjsko hribovje in Ljubljana,859,lahka,lahka,606
Javor,https://www.hribi.net/gora/javor/25/1963,Zasavsko - Posavsko hribovje in Dolenjska,1132,lahka,lahka,607
Bivak pod Kotovim sedlom,https://www.hribi.net/gora/bivak_pod_kotovim_sedlom/1/723,Julijske Alpe,1965,lahka,zahtevna,608
Smolnik,https://www.hribi.net/gora/smolnik/11/1415,Karavanke,1075,lahka,lahka,609
Korošaški slapovi,https://www.hribi.net/gora/korosaski_slapovi/3/895,Kamniško Savinjske Alpe,800,lahka,lahka,610
Jelenkamen,https://www.hribi.net/gora/jelenkamen/11/1247,Karavanke,1096,lahka,delno zahtevna,611
Malič,https://www.hribi.net/gora/malic/25/861,Zasavsko - Posavsko hribovje in Dolenjska,936,lahka,lahka,612
Špičasti vrh,https://www.hribi.net/gora/spicasti_vrh/26/1187,"Goriško, Notranjsko in Snežniško hribovje",1128,lahka,lahka,613
Velika korita Soče,https://www.hribi.net/gora/velika_korita_soce/1/427,Julijske Alpe,480,lahka,lahka,614
Golava,https://www.hribi.net/gora/golava/25/855,Zasavsko - Posavsko hribovje in Dolenjska,834,lahka,zahtevna,615
Bivak Za Akom,https://www.hribi.net/gora/bivak_za_akom/1/1097,Julijske Alpe,1340,zahtevna,zahtevna,616
Kamnik,https://www.hribi.net/gora/kamnik/25/854,Zasavsko - Posavsko hribovje in Dolenjska,861,delno zahtevna,zahtevna,617
Bela peč/Monte Bila pec,https://www.hribi.net/gora/bela_pec_monte_bila_pec/1/1374,Julijske Alpe,2146,zahtevna,zahtevna,618
Dom Ušte - Žerenk,https://www.hribi.net/gora/dom_uste_-_zerenk/25/797,Zasavsko - Posavsko hribovje in Dolenjska,658,lahka,lahka,619
Koča Vrtača,https://www.hribi.net/gora/koca_vrtaca/11/236,Karavanke,1288,lahka,lahka,620
Planina Rzenik,https://www.hribi.net/gora/planina_rzenik/3/408,Kamniško Savinjske Alpe,1654,lahka,lahka,621
Spodnja Vrbanova špica,https://www.hribi.net/gora/spodnja_vrbanova_spica/1/682,Julijske Alpe,2299,zahtevna,zahtevna,622
Vojsko,https://www.hribi.net/gora/vojsko/21/1495,"Škofjeloško, Cerkljansko hribovje in Jelovica",1077,lahka,lahka,623
GEOSS,https://www.hribi.net/gora/geoss/25/794,Zasavsko - Posavsko hribovje in Dolenjska,645,lahka,lahka,625
Zavetišče na Biba planini,https://www.hribi.net/gora/zavetisce_na_biba_planini/3/185,Kamniško Savinjske Alpe,1300,lahka,lahka,626
Planina Dol,https://www.hribi.net/gora/planina_dol/3/1261,Kamniško Savinjske Alpe,1308,lahka,zahtevna,627
Tonovcov grad pri Kobaridu,https://www.hribi.net/gora/tonovcov_grad_pri_kobaridu/1/396,Julijske Alpe,500,lahka,lahka,628
Baba,https://www.hribi.net/gora/baba/3/1284,Kamniško Savinjske Alpe,1119,lahka,lahka,629
Žleb (Suho ruševje),https://www.hribi.net/gora/zleb_suho_rusevje/11/88,Karavanke,1916,lahka,lahka,630
Grad Fridrihštajn,https://www.hribi.net/gora/grad_fridrihstajn/25/1191,Zasavsko - Posavsko hribovje in Dolenjska,970,lahka,zahtevna,631
Veliki Nabojs / Monte Nabois grande,https://www.hribi.net/gora/veliki_nabojs___monte_nabois_grande/1/1529,Julijske Alpe,2313,zahtevna,zahtevna,632
Poštarski dom pod Plešivcem,https://www.hribi.net/gora/postarski_dom_pod_plesivcem/11/591,Karavanke,805,lahka,lahka,633
Črna gora,https://www.hribi.net/gora/crna_gora/1/345,Julijske Alpe,1350,lahka,lahka,634
Slap Parabola,https://www.hribi.net/gora/slap_parabola/1/233,Julijske Alpe,700,lahka,lahka,635
Sveti nadangel Gabrijel (Planica),https://www.hribi.net/gora/sveti_nadangel_gabrijel_planica/21/549,"Škofjeloško, Cerkljansko hribovje in Jelovica",824,lahka,lahka,636
Mengore,https://www.hribi.net/gora/mengore/26/1756,"Goriško, Notranjsko in Snežniško hribovje",453,lahka,lahka,637
