Ime,URL,Gorovje,Višina (m),Zahtevnost (min),Zahtevnost (max),Priljubljenost
Sveti Jošt nad Kranjem,https://www.hribi.net/gora/sveti_jost_nad_kranjem/21/186,"Škofjeloško, Cerkljansko hribovje in Jelovica",845,lahka,lahka,51
Lubnik,https://www.hribi.net/gora/lubnik/21/135,"Škofjeloško, Cerkljansko hribovje in Jelovica",1025,lahka,lahka,52
Boč,https://www.hribi.net/gora/boc/11/543,Karavanke,978,lahka,zahtevna,53
Lovrenška jezera,https://www.hribi.net/gora/lovrenska_jezera/4/514,Pohorje in ostala severovzhodna Slovenija,1520,lahka,lahka,54
Zasavska koča na Prehodavcih,https://www.hribi.net/gora/zasavska_koca_na_prehodavcih/1/175,Julijske Alpe,2071,lahka,zahtevna,55
Razor,https://www.hribi.net/gora/razor/1/9,Julijske Alpe,2601,zahtevna,zahtevna,56
Cojzova koča na Kokrskem sedlu,https://www.hribi.net/gora/cojzova_koca_na_kokrskem_sedlu/3/98,Kamniško Savinjske Alpe,1793,lahka,zahtevna,57
Dom na Zelenici,https://www.hribi.net/gora/dom_na_zelenici/11/91,Karavanke,1536,lahka,zahtevna,58
Montaž / Jôf di Montasio,https://www.hribi.net/gora/montaz___jof_di_montasio/1/629,Julijske Alpe,2753,zahtevna,zahtevna,59
Vremščica,https://www.hribi.net/gora/vremscica/26/571,"Goriško, Notranjsko in Snežniško hribovje",1027,lahka,lahka,60
Blejska koča na Lipanci,https://www.hribi.net/gora/blejska_koca_na_lipanci/1/76,Julijske Alpe,1630,lahka,lahka,61
Planina Zajamniki,https://www.hribi.net/gora/planina_zajamniki/1/1996,Julijske Alpe,1280,lahka,lahka,62
Mrzlica,https://www.hribi.net/gora/mrzlica/25/678,Zasavsko - Posavsko hribovje in Dolenjska,1122,lahka,delno zahtevna,63
Jezerska Kočna,https://www.hribi.net/gora/jezerska_kocna/3/25,Kamniško Savinjske Alpe,2540,zahtevna,zahtevna,64
Tolsti vrh,https://www.hribi.net/gora/tolsti_vrh/3/125,Kamniško Savinjske Alpe,1715,lahka,lahka,65
Svete Višarje / Monte Lussari,https://www.hribi.net/gora/svete_visarje___monte_lussari/1/655,Julijske Alpe,1766,lahka,lahka,66
Lisca,https://www.hribi.net/gora/lisca/25/766,Zasavsko - Posavsko hribovje in Dolenjska,948,lahka,zahtevna,67
Slivnica,https://www.hribi.net/gora/slivnica/26/227,"Goriško, Notranjsko in Snežniško hribovje",1114,lahka,lahka,68
Bovški Gamsovec,https://www.hribi.net/gora/bovski_gamsovec/1/647,Julijske Alpe,2392,zahtevna,zahtevna,69
Triglavski dom na Kredarici,https://www.hribi.net/gora/triglavski_dom_na_kredarici/1/23,Julijske Alpe,2515,lahka,zahtevna,70
Tosc,https://www.hribi.net/gora/tosc/1/83,Julijske Alpe,2275,lahka,delno zahtevna,71
Rašica (Vrh Staneta Kosca),https://www.hribi.net/gora/rasica_vrh_staneta_kosca/5/123,Polhograjsko hribovje in Ljubljana,641,lahka,lahka,72
Košutnikov turn,https://www.hribi.net/gora/kosutnikov_turn/11/331,Karavanke,2133,zahtevna,zahtevna,73
Jerebica,https://www.hribi.net/gora/jerebica/1/420,Julijske Alpe,2126,delno zahtevna,zahtevna,74
Trupejevo poldne,https://www.hribi.net/gora/trupejevo_poldne/11/366,Karavanke,1931,lahka,zahtevna,75
Dovška Baba,https://www.hribi.net/gora/dovska_baba/11/275,Karavanke,1891,lahka,lahka,76
Smrekovec,https://www.hribi.net/gora/smrekovec/3/485,Kamniško Savinjske Alpe,1577,lahka,lahka,77
Govca (Olševa),https://www.hribi.net/gora/govca_olseva/11/673,Karavanke,1929,lahka,zahtevna,78
Kepa,https://www.hribi.net/gora/kepa/11/97,Karavanke,2143,zahtevna,zahtevna,79
Rodica,https://www.hribi.net/gora/rodica/1/310,Julijske Alpe,1966,lahka,delno zahtevna,80
Kamniški vrh,https://www.hribi.net/gora/kamniski_vrh/3/351,Kamniško Savinjske Alpe,1259,lahka,zahtevna,81
Tošč,https://www.hribi.net/gora/tosc/5/122,Polhograjsko hribovje in Ljubljana,1021,lahka,lahka,82
Matajur,https://www.hribi.net/gora/matajur/1/747,Julijske Alpe,1642,lahka,zahtevna,83
Stenar,https://www.hribi.net/gora/stenar/1/33,Julijske Alpe,2501,lahka,zahtevna,84
Rombon,https://www.hribi.net/gora/rombon/1/414,Julijske Alpe,2208,lahka,delno zahtevna,85
Turska gora,https://www.hribi.net/gora/turska_gora/3/391,Kamniško Savinjske Alpe,2251,zahtevna,zahtevna,86
Donačka gora,https://www.hribi.net/gora/donacka_gora/11/837,Karavanke,884,lahka,zahtevna,87
Vogel,https://www.hribi.net/gora/vogel/1/588,Julijske Alpe,1922,lahka,zahtevna,88
Kalški greben,https://www.hribi.net/gora/kalski_greben/3/318,Kamniško Savinjske Alpe,2224,lahka,zahtevna,89
Dom na Kališču,https://www.hribi.net/gora/dom_na_kaliscu/3/134,Kamniško Savinjske Alpe,1534,lahka,delno zahtevna,90
Mrzla gora,https://www.hribi.net/gora/mrzla_gora/3/433,Kamniško Savinjske Alpe,2203,zahtevna,zahtevna,91
